product_id,group,value
112,Dimension,12.5 x 9.6 x 1 cm
109,Taille,M
109,Poids,0.2 Kg
109,Dimension,69 x 46 x 1 cm
109,Couleur,28 Patrimoine
92,Couleur,Bleu
92,Dimension,18 x 5 x 0.2 cm
92,Poids,0.17 Kg
91,Couleur,Noir
91,Dimension,↔ 22.5cm | ⌀ 88.5 cm
91,Poids,0.16 Kg
89,Couleur,Marron
89,Dimension,7.9 x 13 x 1 cm
89,Poids,0.122 Kg
88,Couleur,Noir
82,Couleur,Vert Militaire
82,Poids,0.81 Kg
80,Couleur,Noir
80,Dimension,7 x 3 x 1 cm
80,Poids,0.07 Kg
79,Couleur,Noir
79,Dimension,7 x 3 x 1 cm
79,Poids,0.05 Kg
78,Couleur,Noir
78,Dimension,4.5 x 2.7 x 1.2 cm
78,Poids,0.1 Kg
75,Taille,S
75,Couleur,Rouge
75,Dimension,↔ 26cm | ⌀ 91 cm
75,Poids,0.23 kg
29,Couleur,Noir
29,Dimension,72 x 57 x 30cm
29,Taille,"Large, Extensible"
29,Poids,0.15 kg
152,Couleur,Rouge
152,Poids,0.4 Kg
152,Dimension,42.5 x 29 x 19 cm
152,Volume,19.5 L
149,Poids,0.4 Kg
149,Couleur,Noir et Blanc
149,Dimension,31.5 x 24 x 14.5 cm
149,Volume,11 L
146,Couleur,Rouge
146,Dimension,46 x 33.5 x 22 cm
146,Volume,19 L
146,Poids,1.3 Kg
111,Taille,M
111,Couleur,Lemon Fields
111,Dimension,33 x 40 x 17 cm
111,Volume,15 L
111,Poids,1 Kg
102,Couleur,Panda
102,Dimension,31 x 26 x 18 cm
102,Poids,0.24 Kg
102,Volume,9 L
279,Poids,0.4 Kg
279,Dimension,40 x 27.5 x 20.5 cm
279,Volume,23 L
279,Couleur,JUNGLE
244,Couleur,Jaune
244,Poids,1 Kg
244,Volume,26 L
244,Dimension,48 x 32 x 23.5 cm
206,Couleur,Violet
206,Dimension,46.5 x 33 x 22.5 cm
206,Poids,0.5 Kg
167,Couleur,Noir
167,Volume,25 L
167,Poids,0.5 Kg
167,Dimension,45 x 30.5 x 23 cm
154,Poids,0.4 Kg
154,Couleur,Flowers Black
154,Dimension,43 x 28 x 23 cm
154,Volume,20 L
153,Dimension,40 x 27.5 x 20.5 cm
153,Volume,23 L
153,Poids,0.39 Kg
153,Couleur,Glitch
125,Taille,Cabine
125,Couleur,Bleu 
125,Poids,0.6 Kg
125,Dimension,32 x 52.5 x 30 cm
125,Volume,50.5 L
163,Couleur,Noir
163,Volume,34 L
163,Poids,0.7 Kg
163,Dimension,52.5 x 33.5 x 23.5 cm
