name,description,category,sku,brand,price,currency,availability,url
BIZ2GO TRVL SPINNER,"Dites bonjour à Biz2Go, notre collection business qui volera la vedette lors de vos déplacements. Des détails réfléchissants à l&#039;extérieur à une multitude de poches pratiques, cette ligne est axée sur le confort et le voyage sans contrainte. Le design urbain et les matériaux plus durables font de ces valises et sacs à dos un must-have pour tous les métropolitains.",Accueil,273,Samsonite,1500,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/accueil/273-4390-biz2go-trvl-spinner.html#/3-taille-l/11-couleur-noir/79-poids-37_kg/428-volume-108_118_l/436-dimension-774829/437-dimension_extensible-774832
URBIFY SPINNER,"Les valises Urbify allient simplicité, confort et design. Cette collection répond à tous les critères essentiel : des poches localisables, des roues et des poignées robustes, des sangles intérieures pour faciliter le rangement. Un basique parfait pour ne jamais passer inaperçu !",Accueil,272,Samsonite,1050,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/accueil/272-4377-urbify-spinner.html#/1-taille-s/11-couleur-noir/63-poids-23_kg/72-volume-39_l/111-dimension-55_x_40_x_23_cm
SUMMER HIT SPINER,"Luxueuse valise à roulettes rigide d&#039;American Tourister avec 4 roulettes et une poignée télescopique verrouillable. La valise trolley cabine convainc par son design moderne, sa stabilité et sa fonctionnalité. Elle dispose d&#039;un compartiment principal spacieux avec des sangles d&#039;emballage croisées, d&#039;un grand compartiment pour les chemises et d&#039;une serrure TSA. Le compagnon idéal pour votre prochain voyage.",Accueil,269,American Tourister,750,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/accueil/269-4311-summer-hit-spiner.html#/1-taille-s/11-couleur-noir/19-dimension-55_x_40_x_20cm/27-volume-38_l/32-poids-25_kg
HIGH TURN SPINNER,"Chariot à la mode d’American Tourister en ABS robuste, quatre roues robustes, un grand compartiment à linge et une sangle d’emballage croisée. Le compagnon fiable pour le prochain voyage.",Accueil,263,American Tourister,690,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/accueil/263-4285-high-turn-spinner.html#/1-taille-s/19-dimension-55_x_40_x_20cm/45-poids-27_kg/186-volume-40_l/296-couleur-matt_sage_khaki
DEEP DIVE SPINER, Valise. 4 roues doubles. Extracteur de tube double. Serrure à 3 chiffres à combinaison fixe avec fonction TSA. Fermetures éclair standard. Poignée supérieure. 1 poche avant. Compartiment inférieur avec sangles. Compartiment supérieur avec séparateur interne. Bretelles de sac à dos sur le séparateur inférieur. ,Accueil,261,American Tourister,730,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/accueil/261-4281-deep-dive-spiner.html#/1-taille-s/19-dimension-55_x_40_x_20cm/27-volume-38_l/32-poids-25_kg/126-couleur-teal
Set de 3 valises HYPERSPEED,Set de 3 valises souples,Accueil,000131,American Tourister,2320,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/accueil/257-set-de-3-valises-hyperspeed.html
D&#039;LITE,Valise souple,Accueil,245,Samsonite,1250,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/accueil/245-4171-d-lite.html#/1-taille-s/18-couleur-rose/44-poids-2_kg/72-volume-39_l/104-dimension-55_x_40_x_22_cm
GATEWAY 200,Valise rigide 4 roues .,Accueil,243,Samsonite,1700,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/accueil/243-4164-gateway-200.html#/1-taille-s/19-dimension-55_x_40_x_20cm/58-volume-36_l/69-poids-3_kg/282-couleur-graphite
VAYCAY,"Préparez-vous à voyager mieux que jamais avec cette valise  souple extensibleVaycay de Samsonite. En polyester léger avec une doublure en Recyclex, cette valise résistante à l&#039;eau offre une longue durée de vie et est facile à utiliser tout en montrant un engagement envers la durabilité. Les nombreuses poches et le cadenas intégré approuvé par la TSA offrent encore plus de fonctionnalité.",Accueil,190369,Samsonite,1100,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/accueil/231-4151-vaycay.html#/1-taille-s/19-dimension-55_x_40_x_20cm/44-poids-2_kg/122-couleur-bleu_royal/186-volume-40_l
PULSONIC,"Choisissez la praticité et l&#039;élégance avec la valise souple AMERICAN TOURISTER. Fabriquée en polyester robuste. Optez pour la valise AMERICAN TOURISTER pour une expérience de voyage sans souci, où que vos aventures vous mènent.",Accueil,203977,American Tourister,750,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/accueil/230-4147-pulsonic.html#/1-taille-s/11-couleur-noir/19-dimension-55_x_40_x_20cm/32-poids-25_kg/200-dimension_extensible-55_x_40_x_25_cm/252-volume-38_435_l
CROSSTRACK,,Accueil,190,Samsonite,950,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/accueil/190-3885-crosstrack.html#/3-taille-l/5-couleur-gris/194-dimension-79_x_47_x_31_cm
Speedstar,,Valises,189,Samsonite,740,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/valises/189-3872-speedstar.html#/1-taille-s/19-dimension-55_x_40_x_20cm/351-couleur-bleu_ciel
Sky Surfer Spinner,Valise Sky Surfer Spinner à 4 roues by American Tourister.,Souples,171,American Tourister,790,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/souples/171-3731-sky-surfer-spinner.html#/1-taille-s/11-couleur-noir/19-dimension-55_x_40_x_20cm/27-volume-38_l/32-poids-25_kg
Lipault Plume 3.0 Spinner,Valise Lipault Plume 3.0 souple à 4 roues.,Souples,158,Lipault,1100,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/souples/158-3660-lipault-plume-30-spinner-.html#/1-taille-s/258-volume-63_l/386-dimension-55_x_35_x_21_cm/387-poids-219_kg/390-couleur-bordeaux
Set de 3 Valises Bon Air Spinner,Ensemble de valise American Tourister - Bon Air.,Ensembles de valises,000124,American Tourister,2300,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/ensembles-de-valises/139-set-de-3-valises-bon-air.html
ORFEO,"Une valise plutôt haut de gamme tant par sa structure, sa qualité ou encore ses fonctionnalités, en choisissant la valise Samsonite Orfeo, vous êtes sûr de profiter d’un bagage qui vous permettra de voyager l’esprit tranquille.",Accueil,283,Samsonite,1200,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/accueil/283-4419-orfeo.html#/1-taille-s/11-couleur-noir/19-dimension-55_x_40_x_20cm/125-poids-24_kg/383-volume-37_l
DASHPOP SPINNER,"Faites preuve d&#039;originalité avec DashPop! Son design élégant et accrocheur ainsi que ses teintes vives, ajouteront une touche de joie à vos voyages. DashPop est fabriquée à partir de polypropylène résistant et offre un volume maximal grâce à son intérieur spacieux et sa fonction d&#039;extensibilité. Vous pouvez même ajouter une touche personnelle à votre valise,  en ajoutant vos initiales ou l&#039;un des autocollants fournis sur le coté.",Accueil,271,American Tourister,825,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/accueil/271-4335-dashpop-spinner.html#/1-taille-s/16-couleur-jaune/19-dimension-55_x_40_x_20cm/32-poids-25_kg/179-dimension_extensible-55_x_40_x_23_cm/190-volume-43_46_l
Nuon Spinner,Valise rigide Samsonite à 4 roues Extensible.,Rigides,101,Samsonite,1650,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/rigides/101-3586-nuon-spinner.html#/1-taille-s/19-dimension-55_x_40_x_20cm/32-poids-25_kg/179-dimension_extensible-55_x_40_x_23_cm/291-volume-38_42_l/297-couleur-matt_graphite
Wavebreaker Disney Spinner,Valise American Tourister à 4 roues pour enfants.,Valise enfant,99,Disney,750,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/valise-enfant/99-3576-wavebreaker-disney-spinner.html#/1-taille-s/19-dimension-55_x_40_x_20cm/58-volume-36_l/64-poids-26_kg/278-couleur-donald_blue_kiss
C-LITE,Valise rigide,Accueil,247,Samsonite,1850,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/accueil/247-4174-c-lite.html#/1-taille-s/19-dimension-55_x_40_x_20cm/44-poids-2_kg/58-volume-36_l/245-couleur-bleu
Disney Ultimate 2.0,Valise Samsonite à 4 roues pour enfants.,Valise enfant,97,Disney,550,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/valise-enfant/97-3571-disney-ultimate-20.html#/1-taille-s/62-poids-17_kg/271-couleur-mickey_donald/274-dimension-465_x_33_x_225_cm/275-volume-205_l
STACKD,"Pour ceux à la recherche d&#039;une valise moderne au design urbain, StackD est la collection indispensable à vos voyages. Grâce à texture sophistiquée en polycarbonate, cette ligne unisexe se distingue par sa durabilité et sa résistance aux rayures. Toutes les valises de la collection comptent 4 doubles roues et une poignée double tube, pour rendre votre expérience la plus confortable possible. Avec ses deux tailles de bagage cabine différentes et ses nombreuses grandes tailles disponibles, StackD est la collection qui vous accompagnera dans vos aventures à travers le monde.",Accueil,226778,Samsonite,1550,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/accueil/229-4137-stackd-.html#/1-taille-s/16-couleur-jaune/19-dimension-55_x_40_x_20cm/147-volume-36_41_l/179-dimension_extensible-55_x_40_x_23_cm
Dream Rider Disney,Valise Samsonite à 4 roues pour enfants.,Valise enfant,96,Disney,530,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/valise-enfant/96-3566-dream-rider.html#/1-taille-s/63-poids-23_kg/263-couleur-donald_stars/268-dimension-51_x_37_x_22_cm/269-volume-28_l
MAJOR-LITE,Valise Rigide,Rigides,215932,Samsonite,2000,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/rigides/223-4128-major-lite.html#/1-taille-s/11-couleur-noir/19-dimension-55_x_40_x_20cm/179-dimension_extensible-55_x_40_x_23_cm/237-volume-38_44_l
Airea Spinner EXP,Valise souple Samsonite Extensible à 4 roues.,Valises,95,Samsonite,1090,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/valises/95-3547-airea-spinner-exp.html#/1-taille-s/245-couleur-bleu/246-dimension-55_x_35_x_22_cm/249-dimension_extensible-55_x_35_x_25_cm/252-volume-38_435_l/255-poids-18_kg
ATTRIX,Valise regide,Accueil,231802,Samsonite,2100,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/accueil/220-4127-attrix.html#/4-taille-xl/57-dimension-81_x_55_x_34cm/70-poids-34_kg/281-couleur-black_gold_deluscious
Proxis Spinner,Valise rigide Samsonite à 4 roues.,Rigides,93,Samsonite,1750,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/rigides/93-3541-proxis-spinner.html#/1-taille-s/19-dimension-55_x_40_x_20cm/121-poids-22_kg/179-dimension_extensible-55_x_40_x_23_cm/237-volume-38_44_l/243-couleur-bleu_petrole
ESSENS,Valise ESSENS rigide by Samsonite,Rigides,211545,Samsonite,1100,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/rigides/218-4097-essens.html#/3-taille-l/15-couleur-vert/21-dimension-75_x_51_x_32cm/129-poids-43_kg/188-volume-108_l
UPSCAPE,,Accueil,194,Samsonite,1280,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/accueil/194-3895-upscape.html#/1-taille-s/16-couleur-jaune/19-dimension-55_x_40_x_20cm
Lite Locked,Valise rigide Samsonite à 4 roues,Rigides,37,Samsonite,1460,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/rigides/37-3325-lite-locked.html#/2-taille-m/11-couleur-noir/59-volume-68_l/70-poids-34_kg/85-dimension-69_x_45_x_29_cm
Lite Shock,Valise rigide Samsonite à 4 roues,Rigides,38,Samsonite,1850,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/rigides/38-3754-lite-shock.html#/2-taille-m/14-couleur-bleu/20-dimension-69_x_48_x_30cm/288-dimension_extensible-69_x_45_x_31_cm
S&#039;cure Eco,Valise rigide Samsonite à 4 roues.,Rigides,44,Samsonite,890,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/rigides/44-3343-s-cure-eco.html#/1-taille-s/14-couleur-bleu/41-volume-35l/65-poids-29_kg/104-dimension-55_x_40_x_22_cm
MIDTOWN DUFFLE,"La série Midtown de Samsonite est fabriquée à partir d&#039;un mélange de matériaux composé de bouteilles en PET recyclées (70%) et d&#039;un polyester enduit de PU résistant à l&#039;eau. Sûr et facile à manipuler ! Aménagement intérieur bien pensé avec compartiment inférieur, compartiment supérieur avec rembourrage de séparation et sangle d&#039;emballage dans le compartiment inférieur. Concept multi-poignées pratique avec poignées supérieures, latérales et inférieures et barre télescopique (en 2 parties). Voyage en toute sécurité grâce au câble de sécurité TSA.",Accueil,285,Samsonite,1060,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/accueil/285-4426-midtown-duffle.html#/1-taille-s/11-couleur-noir/19-dimension-55_x_40_x_20cm/63-poids-23_kg/97-volume-43_l
Popsoda,Valise souple Samsonite à 4 roues.,Souples,49,Samsonite,870,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/souples/49-3367-popsoda.html#/2-taille-m/10-couleur-rouge/59-volume-68_l/65-poids-29_kg/127-dimension-66_x_44_x_28_cm
Spark,Valise souple Samsonite à 4 roues.,Souples,458675,Samsonite,1760,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/souples/50-3368-spark.html#/2-taille-m/11-couleur-noir/28-volume-82_l/69-poids-3_kg/88-dimension-67_x_44_x_27_cm
Summer Funk,,Accueil,204,Samsonite,690,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/accueil/204-3937-summer-funk.html#/1-taille-s/11-couleur-noir/19-dimension-55_x_40_x_20cm
Base Boost,Valise souple Samsonite à 4 roues.,Souples,52,Samsonite,950,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/souples/52-3370-base-boost.html#/1-taille-s/10-couleur-rouge/65-poids-29_kg/104-dimension-55_x_40_x_22_cm/114-volume-34_l
Set de 3 valises HYPERSPEED,Set de 3 valises,Accueil,000130,American Tourister,2320,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/accueil/255-set-de-3-valises-hyperspeed.html
SEASEEKER,,Accueil,192,Samsonite,730,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/accueil/192-3890-seaseeker.html#/1-taille-s/19-dimension-55_x_40_x_20cm/352-couleur-rose_bebe
Holiday Heat,Valise souple American Tourister à 4 roues.,Souples,71,American Tourister,600,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/souples/71-3490-holiday-heat.html#/1-taille-s/11-couleur-noir/19-dimension-55_x_40_x_20cm/58-volume-36_l/64-poids-26_kg
Lite Volt,Valise souple American Tourister à 4 roues.,Souples,70,American Tourister,620,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/souples/70-3486-lite-volt.html#/2-taille-m/81-volume-70_l/125-poids-24_kg/181-couleur-sunset/193-dimension-68_x_425_x_29_cm
Eco SPIN Atlas,Valise souple American Tourister à 4 roues.,Souples,69,American Tourister,650,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/souples/69-3483-eco-spin.html#/1-taille-s/11-couleur-noir/19-dimension-55_x_40_x_20cm/32-poids-25_kg/186-volume-40_l
Linex,Valise rigide American Tourister à 4 roues.,Rigides,65,American Tourister,950,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/rigides/65-3556-linex.html#/2-taille-m/18-couleur-rose/133-poids-32_kg/257-dimension-66_x_45_x_27_cm/258-volume-63_l
Wavebreaker,Valise rigide American Tourister à 4 roues.,Valise enfant,64,American Tourister,760,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/valise-enfant/64-3463-wavebreaker.html#/1-taille-s/19-dimension-55_x_40_x_20cm/58-volume-36_l/64-poids-26_kg/174-couleur-bleu_celeste
Soundbox,Valise rigide American Tourister à 4 roues.,Rigides,63,American Tourister,860,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/rigides/63-3454-soundbox.html#/1-taille-s/64-poids-26_kg/104-dimension-55_x_40_x_22_cm/119-volume-41_l/172-couleur-violet
Funlight Star Wars,Valise rigide American Tourister à 4 roues.,Disney &amp; Enfant,59,American Tourister,810,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/disney-enfant/59-3412-funlight-star-wars.html#/1-taille-s/19-dimension-55_x_40_x_20cm/58-volume-36_l/64-poids-26_kg/169-couleur-star_wars
Airconic,Valise rigide Amercan Tourister à 4 roues.,Rigides,55,American Tourister,860,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/rigides/55-3384-airconic.html#/1-taille-s/11-couleur-noir/19-dimension-55_x_40_x_20cm/44-poids-2_kg/134-volume-335_l
Cosmolite,Valise Rigide Cosmolite 4 roues,Rigides,30,Samsonite,1770,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/rigides/30-3742-cosmolite.html#/2-taille-m/5-couleur-gris/55-dimension-69_x_46_x_29cm/59-volume-68_l/63-poids-23_kg
magnum Eco Spinner,"Notre collection Magnum Eco, fabriquée en Europe, transforme les déchets de post-consommation en bagages de haute qualité.",Rigides,25,Samsonite,925,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/rigides/25-2421-magnum-eco-spinner.html#/1-taille-s/14-couleur-bleu/19-dimension-55_x_40_x_20cm/27-volume-38_l/32-poids-25_kg
Citybeat Spinner,Achetez valise Samsonite Citybeat à 4 roues dans la boutique en ligne Samsonite. Découvrez notre vaste assortiment de valises,Souples,26,Samsonite,930,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/souples/26-2438-citybeat-spinner.html#/1-taille-s/14-couleur-bleu/36-dimension-55_x_35_x_20cm/41-volume-35l/44-poids-2_kg
Set de 4 valises Magnum-Eco Spinner,"Découvrez notre set de valise magnum-eco bleu 4 roues. Ensemble comporte 4 valise de taille cabine (S), moyenne (M), large (L) et extra-large (XL).",Ensembles de valises,000122,Samsonite,3660,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/ensembles-de-valises/28-set-de-4-valises-magnum-eco-spinner.html
PRO-DLX 6 SLG 046-B 6CC,"Notre collection principale d’articles en cuir est rafraîchie et plus élégante que jamais. Nous avons conservé son design audacieux et masculin, ajouté une nouvelle plaque logo et créé plusieurs modèles nouveaux et modernes. Les portefeuilles Pro-DLX 6 SLG, tous dotés d’une protection RFID, sont prêts à rester à vos côtés.",Accueil,181275,Samsonite,380,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/accueil/294-pro-dlx-6-slg-046-b-6cc.html
PRO-DLX 6 SLG 049 - B S,"La collection de maroquinerie Kern de Samsonite a été mise à jour et est plus stylée que jamais. Le design distinctif et à la mode a été conservé, une nouvelle plaque de logo a été ajoutée et plusieurs  nouveaux modèles branchés ont été conçus. Les portefeuilles PRO-DLX 6, tous dotés d&#039;une protection RFID, sont prêts à vous accompagner.",Accueil,181572,Samsonite,380,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/accueil/293--pro-dlx-6-slg-049-b-s.html
HIGH TURN  BEAUTY CASE,Trousse de beauté élégante et en même temps pratique d’American Tourister. Avec plusieurs compartiments latéraux et une bandoulière amovible. Le compagnon idéal pour les voyages.,Accueil,268,Samsonite,460,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/accueil/268-4305-high-turn-beauty-case.html#/1-taille-s/11-couleur-noir/184-poids-16_kg/300-dimension-31_x_26_x_18_cm/374-volume-20_l
FLAGGED 2.0 SLG 001,"Flagged SLG est notre ligne de maroquinerie jeune et créative. Proposant des portefeuilles avec un détail coloré sur l&#039;extérieur et la doublure, cette collection ajoutera une touche décontractée à votre tenue de tous les jours.",Accueil,221841,Samsonite,370,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/accueil/239-flagged-20-slg-001.html
FLAGGED 2.0 SLG 046,"Flagged SLG est notre ligne de maroquinerie jeune et créative. Proposant des portefeuilles avec un détail coloré sur l&#039;extérieur et la doublure, cette collection ajoutera une touche décontractée à votre tenue de tous les jours.",Accueil,221889,Samsonite,370,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/accueil/238-flagged-20-slg-046.html
ATTACK 2 SLG 049,"Collection de maroquinerie entièrement confectionnée en cuir de vachette, avec des fonctionnalités classiques et un look sport.",Accueil,179647,Samsonite,300,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/accueil/236-attack-2-slg-049.html
Global Ta Foldable Luggage Cover,House de protectio Samsonite Gloobal Ta Foldable.,Housse de valise,159,Samsonite,230,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/housse-de-valise/159-3686-global-ta-foldable-luggage-cover.html#/4-taille-xl/11-couleur-noir/395-dimension-81cm_86cm
Success 2 SLG 119,Portefeuille Samsonite Success 2 SLG.,Accueil,113,Samsonite,230,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/accueil/113-3616-success-2-slg-119.html#/205-couleur-ebony_brown/209-poids-01_kg/320-dimension-106_x_95_x_1_cm
Success 2 SLG 137,Portefeuille Samsonite Success 2 SLG.,Portefeuille,112,Samsonite,205,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/portefeuille/112-3615-success-2-slg-137.html#/11-couleur-noir/319-dimension-125_x_96_x_1_cm
